"タイムスタンプ","あなたはコーヒーを購入する際、カフェ・その他専門店を利用したことがありますか？","カフェ・その他専門店で購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するコーヒーを、家族や友人にどれくらい勧めたいと思いますか？","あなたはコーヒーを購入する際、コンビニを利用することがありますか？","コンビニで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するコーヒーを、家族や友人にどれくらい勧めたいと思いますか？","あなたはコーヒーを購入する際、スーパーを利用することがありますか？","スーパーで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するコーヒーを、家族や友人にどれくらい勧めたいと思いますか？","あなたはパンを購入する際、パン屋・その他専門店を利用することがありますか？","パン屋・その他専門店で購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するパンを、家族や友人にどれくらい勧めたいと思いますか？","あなたはパンを購入する際、コンビニを利用することがありますか？","コンビニで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するパンを、家族や友人にどれくらい勧めたいと思いますか？","あなたはパンを購入する際、スーパーを利用することがありますか？","スーパーで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するパンを、家族や友人にどれくらい勧めたいと思いますか？","あなたはケーキを購入する際、ケーキ屋・その他専門店を利用することがありますか？","ケーキ屋・その他専門店で購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するケーキを、家族や友人にどれくらい勧めたいと思いますか？","あなたはケーキを購入する際、コンビニを利用することがありますか？","コンビニで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するケーキを、家族や友人にどれくらい勧めたいと思いますか？","あなたはケーキを購入する際、スーパーを利用することがありますか？","スーパーで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するケーキを、家族や友人にどれくらい勧めたいと思いますか？"
"2020/10/13 11:21:51 午前 GMT+9","たまに利用する","店舗が近い・アクセスが良い;店の雰囲気が良い","6","利用しない","","","たまに利用する","価格が安い","5","利用しない","","","たまに利用する","価格が安い","5","たまに利用する","価格が安い;種類が豊富・品揃えが良い","5","利用しない","","","利用しない","","","利用しない","",""
"2020/10/13 11:30:32 午前 GMT+9","たまに利用する","種類が豊富・品揃えが良い;店の雰囲気が良い","7","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","7","たまに利用する","価格が安い;ほかの食品・日用品等と合わせて購入できる","4","よく利用する","美味しい;できたてを購入できる;種類が豊富・品揃えが良い","8","利用しない","","","たまに利用する","価格が安い;ほかの食品・日用品等と合わせて購入できる","3","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","9","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;店や商品の個性がある;気軽に購入できる・素早く購入できる","6","利用しない","",""
"2020/10/13 11:50:07 午前 GMT+9","たまに利用する","美味しい;店内で飲めるのが良い","4","たまに利用する","美味しい;気軽に購入できる・素早く購入できる","4","たまに利用する","価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","6","たまに利用する","美味しい;商品が本格的","6","たまに利用する","美味しい;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる","7","たまに利用する","美味しい;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い","7","たまに利用する","美味しい;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる","7","たまに利用する","美味しい;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7"
"2020/10/13 11:59:41 午前 GMT+9","よく利用する","勉強しながら飲める","5","たまに利用する","価格が安い","5","利用しない","","","利用しない","","","たまに利用する","種類が豊富・品揃えが良い","5","利用しない","","","たまに利用する","美味しい","6","たまに利用する","価格が安い","5","利用しない","",""
"2020/10/13 12:43:47 午後 GMT+9","よく利用する","専門店でアルバイトしており、社割で買えるから","8","よく利用する","価格が安い;できたてを購入できる;気軽に購入できる・素早く購入できる","8","たまに利用する","価格が安い","3","たまに利用する","美味しい;商品が本格的","8","よく利用する","美味しい;店舗が近い・アクセスが良い;店や商品の個性がある","8","たまに利用する","美味しい;価格が安い","7","よく利用する","美味しい;商品が本格的;店や商品の個性がある","8","たまに利用する","店舗が近い・アクセスが良い","7","たまに利用する","美味しい;店や商品の個性がある","9"
"2020/10/13 12:57:15 午後 GMT+9","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い","7","たまに利用する","美味しい;価格が安い","6","利用しない","","","たまに利用する","美味しい;店舗が近い・アクセスが良い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる","8","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い","7","利用しない","","","利用しない","","","利用しない","","","利用しない","",""
"2020/10/13 2:35:21 午後 GMT+9","たまに利用する","美味しい;店舗が近い・アクセスが良い;店の雰囲気が良い;店内で飲めるのが良い","7","たまに利用する","気軽に購入できる・素早く購入できる","5","たまに利用する","価格が安い;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","美味しい;店舗が近い・アクセスが良い;商品が本格的","8","たまに利用する","気軽に購入できる・素早く購入できる","5","たまに利用する","価格が安い;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","美味しい;商品が本格的","8","たまに利用する","気軽に購入できる・素早く購入できる","6","利用しない","",""
"2020/10/13 4:55:36 午後 GMT+9","たまに利用する","店内で飲めるのが良い","5","利用しない","","","利用しない","","","利用しない","","","たまに利用する","店舗が近い・アクセスが良い","5","たまに利用する","価格が安い","5","利用しない","","","利用しない","","","利用しない","",""
"2020/10/14 12:05:28 午後 GMT+9","よく利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い;店の雰囲気が良い","8","たまに利用する","店舗が近い・アクセスが良い;価格が安い;できたてを購入できる","5","たまに利用する","店舗が近い・アクセスが良い;価格が安い","6","よく利用する","美味しい;商品が本格的","10","よく利用する","店舗が近い・アクセスが良い;価格が安い","8","たまに利用する","価格が安い","4","よく利用する","美味しい;商品が本格的;店や商品の個性がある","9","たまに利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","7","利用しない","",""
"2020/10/14 12:48:15 午後 GMT+9","たまに利用する","美味しい;店の雰囲気が良い;店内で飲めるのが良い","6","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","8","たまに利用する","美味しい;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い","7","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;商品が本格的;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","8","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","6","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある;店の雰囲気が良い;店内で食べられるのが良い","9","たまに利用する","美味しい;店舗が近い・アクセスが良い;商品が本格的;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7"
"2020/10/17 12:25:30 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","たまに利用する","美味しい;できたてを購入できる;商品が本格的","8","よく利用する","美味しい;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる","6","たまに利用する","店舗が近い・アクセスが良い;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","美味しい;商品が本格的","8","利用しない","","","利用しない","",""
"2020/10/17 12:41:17 午後 GMT+9","利用しない","","","利用しない","","","よく利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","4","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;店や商品の個性がある;気軽に購入できる・素早く購入できる","6","よく利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 12:52:21 午後 GMT+9","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある;気軽に購入できる・素早く購入できる","7","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;できたてを購入できる;気軽に購入できる・素早く購入できる","9","利用しない","","","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","8","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","5","たまに利用する","価格が安い;ほかの食品・日用品等と合わせて購入できる","2","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","7","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","7","利用しない","",""
"2020/10/17 1:11:00 午後 GMT+9","たまに利用する","勉強のついでに","4","利用しない","","","利用しない","","","よく利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い","10","利用しない","","","たまに利用する","価格が安い","7","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 1:27:31 午後 GMT+9","利用しない","","","利用しない","","","よく利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","美味しい;できたてを購入できる;商品が本格的;店や商品の個性がある","7","たまに利用する","気軽に購入できる・素早く購入できる","4","たまに利用する","店舗が近い・アクセスが良い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる","4","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","4","利用しない","",""
"2020/10/17 1:30:02 午後 GMT+9","利用しない","","","たまに利用する","価格が安い","6","たまに利用する","価格が安い","3","よく利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある;店の雰囲気が良い","10","たまに利用する","価格が安い;ブランパン等低糖質のものがある","5","利用しない","","","よく利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある;店の雰囲気が良い","10","たまに利用する","価格が安い","5","利用しない","",""
"2020/10/17 1:45:18 午後 GMT+9","利用しない","","","利用しない","","","よく利用する","価格が安い;ほかの食品・日用品等と合わせて購入できる","5","利用しない","","","よく利用する","価格が安い;できたてを購入できる","5","よく利用する","価格が安い;種類が豊富・品揃えが良い","5","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 1:50:16 午後 GMT+9","よく利用する","美味しい;店舗が近い・アクセスが良い;店内で飲めるのが良い","6","よく利用する","美味しい;価格が安い;商品が本格的","9","利用しない","","","たまに利用する","美味しい","6","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い","2","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い","2","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 1:52:35 午後 GMT+9","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;できたてを購入できる;店の雰囲気が良い;店内で飲めるのが良い","5","利用しない","","","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い","5","たまに利用する","店舗が近い・アクセスが良い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","価格が安い","3","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 1:55:10 午後 GMT+9","よく利用する","美味しい;価格が安い;作業場所として使える","0","利用しない","","","利用しない","","","利用しない","","","利用しない","","","たまに利用する","価格が安い","0","利用しない","","","利用しない","","","たまに利用する","価格が安い","0"
"2020/10/17 1:56:05 午後 GMT+9","たまに利用する","店の雰囲気が良い;店内で飲めるのが良い","5","利用しない","","","たまに利用する","価格が安い","7","よく利用する","美味しい;できたてを購入できる;商品が本格的","8","たまに利用する","店舗が近い・アクセスが良い","3","よく利用する","店舗が近い・アクセスが良い;価格が安い","5","よく利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い","8","たまに利用する","店舗が近い・アクセスが良い;種類が豊富・品揃えが良い","6","たまに利用する","店舗が近い・アクセスが良い;価格が安い","5"
"2020/10/17 1:56:22 午後 GMT+9","たまに利用する","美味しい;商品が本格的;店の雰囲気が良い","5","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い","5","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","3","よく利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある;店の雰囲気が良い","9","利用しない","","","利用しない","","","たまに利用する","商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","8","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;店や商品の個性がある","5","利用しない","",""
"2020/10/17 2:17:49 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;種類が豊富・品揃えが良い","1","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い","1","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 2:20:18 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","利用しない","","","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;ほかの食品・日用品等と合わせて購入できる","8","たまに利用する","美味しい;価格が安い;種類が豊富・品揃えが良い","10","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 2:33:27 午後 GMT+9","たまに利用する","美味しい;店や商品の個性がある;店の雰囲気が良い;店内で飲めるのが良い;気軽に購入できる・素早く購入できる","7","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;店や商品の個性がある;店の雰囲気が良い;店員が親切・愛想が良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","8","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;ほかの食品・日用品等と合わせて購入できる","8","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","8","たまに利用する","店舗が近い・アクセスが良い;価格が安い;店員が親切・愛想が良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","利用しない","","","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 2:52:24 午後 GMT+9","たまに利用する","店の雰囲気が良い;店内で飲めるのが良い","3","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;店や商品の個性がある;気軽に購入できる・素早く購入できる","7","利用しない","","","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","6","よく利用する","美味しい;店や商品の個性がある;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","6","たまに利用する","価格が安い;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い","6","たまに利用する","美味しい;種類が豊富・品揃えが良い","6","利用しない","",""
"2020/10/17 3:40:01 午後 GMT+9","利用しない","","","よく利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","美味しい;価格が安い;気軽に購入できる・素早く購入できる","5","たまに利用する","美味しい;できたてを購入できる;種類が豊富・品揃えが良い;店や商品の個性がある;店の雰囲気が良い","8","よく利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","よく利用する","価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5"
"2020/10/17 3:56:36 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","たまに利用する","美味しい;店舗が近い・アクセスが良い;商品が本格的;種類が豊富・品揃えが良い;店の雰囲気が良い","6","よく利用する","店舗が近い・アクセスが良い;価格が安い","2","よく利用する","店舗が近い・アクセスが良い;価格が安い","6","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 4:04:07 午後 GMT+9","利用しない","","","利用しない","","","よく利用する","価格が安い","0","利用しない","","","利用しない","","","よく利用する","価格が安い","0","よく利用する","美味しい","7","利用しない","","","利用しない","",""
"2020/10/17 4:16:36 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","利用しない","","","たまに利用する","店舗が近い・アクセスが良い","0","よく利用する","価格が安い","2","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 4:23:23 午後 GMT+9","たまに利用する","美味しい;商品が本格的;店や商品の個性がある;店の雰囲気が良い;店員が親切・愛想が良い","8","利用しない","","","利用しない","","","たまに利用する","美味しい;商品が本格的","8","たまに利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い","6","利用しない","","","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;価格が安い","5","利用しない","",""
"2020/10/17 5:58:11 午後 GMT+9","利用しない","","","利用しない","","","たまに利用する","美味しい;価格が安い","7","よく利用する","美味しい","10","たまに利用する","店舗が近い・アクセスが良い","2","たまに利用する","店舗が近い・アクセスが良い;価格が安い","2","たまに利用する","美味しい","9","利用しない","","","利用しない","",""
"2020/10/17 6:21:18 午後 GMT+9","よく利用する","美味しい;できたてを購入できる;店内で飲めるのが良い;気軽に購入できる・素早く購入できる","4","たまに利用する","店舗が近い・アクセスが良い;価格が安い","2","よく利用する","価格が安い;ほかの食品・日用品等と合わせて購入できる;家で飲むためのストック","5","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い","6","たまに利用する","店舗が近い・アクセスが良い;価格が安い","3","よく利用する","種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","8","よく利用する","美味しい","7","利用しない","","","利用しない","",""
"2020/10/17 7:09:32 午後 GMT+9","利用しない","","","利用しない","","","利用しない","","","利用しない","","","利用しない","","","よく利用する","店舗が近い・アクセスが良い","5","利用しない","","","利用しない","","","利用しない","",""
"2020/10/17 8:10:22 午後 GMT+9","利用しない","","","たまに利用する","気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","3","よく利用する","店舗が近い・アクセスが良い;価格が安い;種類が豊富・品揃えが良い;ほかの食品・日用品等と合わせて購入できる","8","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い","9","たまに利用する","美味しい;種類が豊富・品揃えが良い;店や商品の個性がある;ほかの食品・日用品等と合わせて購入できる","6","よく利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","10","利用しない","","","利用しない","","","利用しない","",""
"2020/10/18 4:09:05 午後 GMT+9","利用しない","","","よく利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","7","たまに利用する","価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","7","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い","9","たまに利用する","気軽に購入できる・素早く購入できる","7","たまに利用する","価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","7"
